subscription_id,customer_id,payment_date,status
1,1,2025-04-01,Active
2,1,2025-05-01,Active
3,1,2025-06-01,Active
4,1,2025-07-01,Active
5,1,2025-08-01,Active
6,1,2025-09-01,Active
7,1,2025-10-01,Active
8,1,2025-11-01,Active
9,1,2025-12-01,Active
10,2,2025-06-01,Active
11,2,2025-07-01,Active
12,2,2025-08-01,Active
13,2,2025-09-01,Active
14,2,2025-10-01,Active
15,2,2025-11-01,Active
16,2,2025-12-01,Active
17,3,2025-02-01,Active
18,3,2025-03-01,Active
19,3,2025-04-01,Active
20,3,2025-05-01,Active
21,3,2025-06-01,Active
22,3,2025-07-01,Active
23,3,2025-08-01,Active
24,3,2025-09-01,Active
25,3,2025-10-01,Active
26,3,2025-11-01,Active
27,3,2025-12-01,Active
28,4,2025-01-01,Active
29,4,2025-02-01,Active
30,4,2025-03-01,Active
31,4,2025-04-01,Active
32,4,2025-05-01,Active
33,4,2025-06-01,Active
34,4,2025-07-01,Active
35,4,2025-08-01,Active
36,4,2025-09-01,Active
37,4,2025-10-01,Active
38,4,2025-11-01,Active
39,4,2025-12-01,Active
40,5,2025-04-01,Active
41,5,2025-05-01,Active
42,5,2025-06-01,Active
43,5,2025-07-01,Active
44,5,2025-08-01,Active
45,5,2025-09-01,Active
46,5,2025-10-01,Active
47,5,2025-11-01,Active
48,5,2025-12-01,Active
49,6,2025-06-01,Active
50,6,2025-07-01,Active
51,6,2025-08-01,Active
52,6,2025-09-01,Active
53,6,2025-10-01,Active
54,6,2025-11-01,Active
55,6,2025-12-01,Active
56,7,2025-06-01,Active
57,7,2025-07-01,Active
58,7,2025-08-01,Active
59,7,2025-09-01,Active
60,7,2025-10-01,Churned
61,8,2025-01-01,Active
62,8,2025-02-01,Active
63,8,2025-03-01,Active
64,8,2025-04-01,Churned
65,9,2025-03-01,Active
66,9,2025-04-01,Active
67,9,2025-05-01,Churned
68,10,2025-02-01,Active
69,10,2025-03-01,Active
70,10,2025-04-01,Active
71,10,2025-05-01,Active
72,10,2025-06-01,Churned
73,11,2025-02-01,Active
74,11,2025-03-01,Active
75,11,2025-04-01,Active
76,11,2025-05-01,Active
77,11,2025-06-01,Churned
78,12,2025-06-01,Active
79,12,2025-07-01,Active
80,12,2025-08-01,Active
81,12,2025-09-01,Active
82,12,2025-10-01,Active
83,12,2025-11-01,Active
84,12,2025-12-01,Active
85,13,2025-06-01,Active
86,13,2025-07-01,Active
87,13,2025-08-01,Active
88,13,2025-09-01,Active
89,13,2025-10-01,Active
90,13,2025-11-01,Active
91,13,2025-12-01,Active
92,14,2025-01-01,Churned
93,15,2025-06-01,Churned
94,16,2025-04-01,Active
95,16,2025-05-01,Active
96,16,2025-06-01,Active
97,16,2025-07-01,Active
98,16,2025-08-01,Active
99,16,2025-09-01,Active
100,16,2025-10-01,Active
101,16,2025-11-01,Active
102,16,2025-12-01,Active
103,17,2025-01-01,Active
104,17,2025-02-01,Active
105,17,2025-03-01,Active
106,17,2025-04-01,Active
107,17,2025-05-01,Active
108,17,2025-06-01,Active
109,17,2025-07-01,Active
110,17,2025-08-01,Active
111,17,2025-09-01,Active
112,17,2025-10-01,Active
113,17,2025-11-01,Active
114,17,2025-12-01,Active
115,18,2025-02-01,Active
116,18,2025-03-01,Active
117,18,2025-04-01,Active
118,18,2025-05-01,Active
119,18,2025-06-01,Active
120,18,2025-07-01,Active
121,18,2025-08-01,Active
122,18,2025-09-01,Active
123,18,2025-10-01,Active
124,18,2025-11-01,Active
125,18,2025-12-01,Active
126,19,2025-05-01,Active
127,19,2025-06-01,Active
128,19,2025-07-01,Active
129,19,2025-08-01,Active
130,19,2025-09-01,Active
131,19,2025-10-01,Churned
132,20,2025-01-01,Active
133,20,2025-02-01,Active
134,20,2025-03-01,Active
135,20,2025-04-01,Active
136,20,2025-05-01,Churned
137,21,2025-01-01,Active
138,21,2025-02-01,Active
139,21,2025-03-01,Active
140,21,2025-04-01,Active
141,21,2025-05-01,Active
142,21,2025-06-01,Active
143,21,2025-07-01,Active
144,21,2025-08-01,Active
145,21,2025-09-01,Active
146,21,2025-10-01,Active
147,21,2025-11-01,Active
148,21,2025-12-01,Active
149,22,2025-05-01,Active
150,22,2025-06-01,Active
151,22,2025-07-01,Active
152,22,2025-08-01,Active
153,22,2025-09-01,Active
154,22,2025-10-01,Active
155,22,2025-11-01,Active
156,22,2025-12-01,Active
157,23,2025-06-01,Active
158,23,2025-07-01,Active
159,23,2025-08-01,Active
160,23,2025-09-01,Active
161,23,2025-10-01,Active
162,23,2025-11-01,Active
163,23,2025-12-01,Active
164,24,2025-04-01,Active
165,24,2025-05-01,Active
166,24,2025-06-01,Active
167,24,2025-07-01,Active
168,24,2025-08-01,Active
169,24,2025-09-01,Active
170,24,2025-10-01,Active
171,24,2025-11-01,Active
172,24,2025-12-01,Active
173,25,2025-05-01,Active
174,25,2025-06-01,Active
175,25,2025-07-01,Active
176,25,2025-08-01,Active
177,25,2025-09-01,Active
178,25,2025-10-01,Churned
179,26,2025-06-01,Active
180,26,2025-07-01,Churned
181,27,2025-06-01,Active
182,27,2025-07-01,Active
183,27,2025-08-01,Active
184,27,2025-09-01,Active
185,27,2025-10-01,Active
186,27,2025-11-01,Active
187,27,2025-12-01,Active
188,28,2025-03-01,Active
189,28,2025-04-01,Active
190,28,2025-05-01,Active
191,28,2025-06-01,Active
192,28,2025-07-01,Active
193,28,2025-08-01,Active
194,28,2025-09-01,Active
195,28,2025-10-01,Active
196,28,2025-11-01,Active
197,28,2025-12-01,Active
198,29,2025-06-01,Active
199,29,2025-07-01,Active
200,29,2025-08-01,Active
201,29,2025-09-01,Active
202,29,2025-10-01,Active
203,29,2025-11-01,Active
204,29,2025-12-01,Active
205,30,2025-06-01,Active
206,30,2025-07-01,Active
207,30,2025-08-01,Active
208,30,2025-09-01,Active
209,30,2025-10-01,Active
210,30,2025-11-01,Active
211,30,2025-12-01,Active
212,31,2025-01-01,Active
213,31,2025-02-01,Active
214,31,2025-03-01,Active
215,31,2025-04-01,Active
216,31,2025-05-01,Active
217,31,2025-06-01,Active
218,31,2025-07-01,Active
219,31,2025-08-01,Active
220,31,2025-09-01,Active
221,31,2025-10-01,Active
222,31,2025-11-01,Active
223,31,2025-12-01,Active
224,32,2025-02-01,Active
225,32,2025-03-01,Active
226,32,2025-04-01,Active
227,32,2025-05-01,Active
228,32,2025-06-01,Active
229,32,2025-07-01,Active
230,32,2025-08-01,Active
231,32,2025-09-01,Active
232,32,2025-10-01,Active
233,32,2025-11-01,Active
234,32,2025-12-01,Active
235,33,2025-03-01,Active
236,33,2025-04-01,Active
237,33,2025-05-01,Active
238,33,2025-06-01,Active
239,33,2025-07-01,Active
240,33,2025-08-01,Active
241,33,2025-09-01,Active
242,33,2025-10-01,Active
243,33,2025-11-01,Active
244,33,2025-12-01,Active
245,34,2025-05-01,Churned
246,35,2025-04-01,Active
247,35,2025-05-01,Active
248,35,2025-06-01,Active
249,35,2025-07-01,Active
