customer_id,signup_date,country,age
1,2025-04-01,Norway,61
2,2025-06-01,Norway,50
3,2025-02-01,Portugal,61
4,2025-01-01,Spain,36
5,2025-04-01,Germany,75
6,2025-06-01,Austria,63
7,2025-06-01,Italy,72
8,2025-01-01,Italy,70
9,2025-03-01,Sweden,73
10,2025-02-01,Poland,24
11,2025-02-01,Portugal,68
12,2025-06-01,Germany,45
13,2025-06-01,USA,69
14,2025-01-01,Argentina,52
15,2025-06-01,Spain,56
16,2025-04-01,Mexico,54
17,2025-01-01,Austria,71
18,2025-02-01,Norway,76
19,2025-05-01,Portugal,18
20,2025-01-01,Portugal,66
21,2025-01-01,Poland,55
22,2025-05-01,Argentina,38
23,2025-06-01,Denmark,34
24,2025-04-01,Sweden,21
25,2025-05-01,Spain,63
26,2025-06-01,Austria,41
27,2025-06-01,Mexico,75
28,2025-03-01,Italy,72
29,2025-06-01,France,74
30,2025-06-01,USA,56
31,2025-01-01,Italy,65
32,2025-02-01,Germany,51
33,2025-03-01,France,22
34,2025-05-01,Switzerland,43
35,2025-04-01,Poland,62
36,2025-01-01,Austria,40
37,2025-06-01,Portugal,23
38,2025-01-01,Austria,60
39,2025-02-01,Poland,27
40,2025-02-01,USA,77
41,2025-06-01,Portugal,45
42,2025-01-01,Norway,46
43,2025-03-01,Spain,20
44,2025-03-01,Mexico,22
45,2025-04-01,Spain,66
46,2025-02-01,France,74
47,2025-03-01,Poland,62
48,2025-04-01,Poland,70
49,2025-02-01,France,22
50,2025-05-01,Norway,53
51,2025-02-01,Norway,25
52,2025-02-01,Mexico,69
53,2025-03-01,Norway,72
54,2025-01-01,Denmark,48
55,2025-05-01,Mexico,67
56,2025-05-01,Portugal,54
57,2025-03-01,Germany,64
58,2025-06-01,Denmark,28
59,2025-05-01,USA,30
60,2025-04-01,Poland,37
61,2025-03-01,USA,26
62,2025-06-01,Germany,44
63,2025-03-01,Norway,26
64,2025-03-01,Sweden,40
65,2025-06-01,Argentina,59
66,2025-03-01,Norway,74
67,2025-01-01,Argentina,32
68,2025-01-01,Italy,22
69,2025-03-01,USA,43
70,2025-02-01,Argentina,33
71,2025-04-01,Norway,22
72,2025-01-01,Argentina,51
73,2025-01-01,Norway,46
74,2025-04-01,Sweden,38
75,2025-02-01,Poland,35
76,2025-03-01,Portugal,44
77,2025-05-01,Portugal,61
78,2025-06-01,Portugal,22
79,2025-01-01,Spain,45
80,2025-05-01,Italy,37
81,2025-01-01,Austria,68
82,2025-02-01,Sweden,42
83,2025-03-01,Portugal,61
84,2025-05-01,Portugal,62
85,2025-05-01,Norway,47
86,2025-05-01,USA,18
87,2025-04-01,Italy,51
88,2025-03-01,Mexico,22
89,2025-03-01,Portugal,49
90,2025-01-01,Switzerland,56
91,2025-03-01,USA,55
92,2025-06-01,Norway,38
93,2025-03-01,Spain,20
94,2025-02-01,Germany,44
95,2025-05-01,USA,28
96,2025-04-01,Spain,50
97,2025-06-01,Mexico,49
98,2025-04-01,Argentina,67
99,2025-01-01,Italy,52
100,2025-03-01,Argentina,71
